,User,Tweet
87,Rey_Salomon_,"RT @VickyDavilaH: Atención: Rodolfo Hernández (48,2%) le toma ventaja de nuevo a Gustavo Petro (47,2%), según encuesta de Invamer https://t…"
88,hdr347,RT @santiagolozanow: Petristas!! Quienes me pueden confirmar que van a votar por Gustavo Petro para que nos sigamos de inmediato?? Ayudemos…
89,jaqueoso,"RT @croactibo: #PetrismoSucio
Con billetes de 50 Dólares pagaron votos a favor de Petro en la primera vuelta... y lo más asqueroso es que l…"
90,AnaleonorOsuna2,"@afperezm @Patrici37458158 @ladel602 acá la subida en el pedestal según tu, soy yo. 🤭
Desarmate  respeto tu voto si… https://t.co/21GcxhGAad"
91,palmero_2010,"RT @CarlosE91647320: @VickyDavilaH Eso no fue una noticia , eso fue un mandado.
Ustedes tienen interés en dañar la campaña de Petro Preside…"
92,gusrodfck,RT @Pata_Leo: Próximamente en Seman* un nuevo video donde se evidenciará la falta de ritmo de Petro al bailar con el titular: ¿Por qué tan…
93,DianaMesaR12,"RT @Eclides3: Petro visita y comparte con la gente pobre del Chocó. 
Robofico visita a herederos del paramilitarismo y del narcotráfico que…"
94,jhonnny_rb,RT @vovallediaz: El nivel ético de la supuesta periodista Vicky Dávila de Gnecco  es de tal magnitud que lo más importante que encontró en…
95,jimenez_lillyam,Petro es Castrochavismo por idear:  el gas de red  por  Energias Limpias.  protagonista  la contraloría General de… https://t.co/U0mqN5i4cc
96,caroalg,"RT @JeanDurangoC: Aquí vemos a Petro y Francia explicando su programa de gobierno y las verdades sobre Robolfo Hernandez. Los ""periodistas""…"
97,SrKunp,"@_juanr17 @catasierra01 Realmente no. Las dos me parecen igual de despreciables.
Si piensas que por no creerle todo… https://t.co/FMs83nsfeu"
98,irozevia1,RT @juanialferez: Lo que esta haciendo Gustavo petro ahora mismo es de una grandeza. Esta exigiendo a vicky davila que muestre los vídeos c…
99,Juan89182477,RT @criticolombia: Gustavo Bolivar está deprimido porque se enteró que en una reunión chuzaron a Roy y a Petro y a él no lo invitaron!
